Date and Time	Maximum Line Voltage	Minimum Line Voltage	Line Voltage	Output Voltage	Battery Voltage	Output Frequency	UPS Load	UPS Internal Temperature	Probe 1 Temperature	Probe 1 Humidity	Probe 2 Temperature	Probe 2 Humidity	Input Frequency	Battery Capacity
04/04/2020 13:53:40	N/A	N/A	228.9	228.9	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	94
04/04/2020 13:56:33	N/A	N/A	228.9	228.9	13.7	50.0	53.9	2.0	N/A	N/A	N/A	N/A	50.0	95
04/04/2020 14:16:33	N/A	N/A	223.2	223.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	92
04/04/2020 14:36:33	N/A	N/A	220.3	220.3	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	97
04/04/2020 14:56:33	N/A	N/A	0.0	231.2	11.6	50.0	37.0	2.0	N/A	N/A	N/A	N/A	50.0	64
04/04/2020 15:03:52	N/A	N/A	223.2	223.2	12.7	50.0	37.7	2.0	N/A	N/A	N/A	N/A	50.0	56
04/04/2020 15:23:52	N/A	N/A	223.2	223.2	13.1	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	61
04/04/2020 15:26:34	N/A	N/A	220.3	220.3	13.1	49.75	53.3	2.0	N/A	N/A	N/A	N/A	49.75	63
04/04/2020 15:46:34	N/A	N/A	218.8	218.8	13.3	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	69
04/04/2020 16:06:34	N/A	N/A	223.2	223.2	13.4	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	75
04/04/2020 16:26:34	N/A	N/A	218.8	218.8	13.5	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	80
04/04/2020 16:46:34	N/A	N/A	230.4	230.4	13.6	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	85
04/04/2020 17:06:34	N/A	N/A	217.4	217.4	13.7	50.0	25.3	2.0	N/A	N/A	N/A	N/A	50.0	91
04/04/2020 17:26:34	N/A	N/A	217.4	217.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	96
04/04/2020 17:46:34	N/A	N/A	227.5	227.5	13.7	49.75	33.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/04/2020 18:06:34	N/A	N/A	228.9	228.9	13.7	50.0	24.7	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 18:26:34	N/A	N/A	223.2	223.2	13.7	50.0	21.4	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 18:46:34	N/A	N/A	228.9	228.9	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/04/2020 19:06:34	N/A	N/A	224.6	224.6	13.7	50.0	29.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 19:26:34	N/A	N/A	228.9	227.5	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 19:46:34	N/A	N/A	228.9	227.5	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 20:06:34	N/A	N/A	224.6	227.5	13.7	49.75	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 20:26:34	N/A	N/A	228.9	228.9	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 20:46:34	N/A	N/A	227.5	227.5	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 21:06:35	N/A	N/A	227.5	227.5	13.7	50.0	44.8	2.0	N/A	N/A	N/A	N/A	49.75	100
04/04/2020 21:26:35	N/A	N/A	227.5	228.9	13.7	49.75	33.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/04/2020 21:46:35	N/A	N/A	227.5	227.5	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 22:06:35	N/A	N/A	228.9	228.9	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 22:26:35	N/A	N/A	228.9	228.9	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 22:46:35	N/A	N/A	228.9	228.9	13.7	50.0	45.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 23:06:35	N/A	N/A	230.4	230.4	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 23:26:35	N/A	N/A	230.4	230.4	13.7	49.75	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/04/2020 23:46:35	N/A	N/A	230.4	230.4	13.7	50.0	30.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 00:06:35	N/A	N/A	233.2	233.2	13.7	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 00:26:35	N/A	N/A	234.7	233.2	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 00:46:35	N/A	N/A	234.7	234.7	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 01:06:30	N/A	N/A	234.7	233.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 10:48:07	N/A	N/A	233.2	230.4	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 11:08:07	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 11:28:07	N/A	N/A	228.9	228.9	13.7	50.0	31.2	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 11:48:07	N/A	N/A	230.4	230.4	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	49.75	100
